ORIGIN_AIRPORT_ID,DISPLAY_AIRPORT_NAME,ORIGIN_CITY_NAME,NAME
12992,Adams Field,"Little Rock, AR","NORTH LITTLE ROCK AIRPORT, AR US"
10257,Albany International,"Albany, NY","ALBANY INTERNATIONAL AIRPORT, NY US"
10140,Albuquerque International Sunport,"Albuquerque, NM","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US"
10299,Anchorage International,"Anchorage, AK","ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT, AK US"
10397,Atlanta Municipal,"Atlanta, GA","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US"
10423,Austin - Bergstrom International,"Austin, TX","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US"
10599,Birmingham Airport,"Birmingham, AL","BIRMINGHAM AIRPORT, AL US"
10529,Bradley International,"Hartford, CT","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US"
10994,Charleston International,"Charleston, SC","CHARLESTON INTL. AIRPORT, SC US"
13232,Chicago Midway International,"Chicago, IL","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US"
13930,Chicago O'Hare International,"Chicago, IL","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US"
11193,Cincinnati/Northern Kentucky International,"Cincinnati, OH","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US"
11042,Cleveland-Hopkins International,"Cleveland, OH","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US"
11298,Dallas Fort Worth Regional,"Dallas/Fort Worth, TX","FORT WORTH MEACHAM FIELD, TX US"
11259,Dallas Love Field,"Dallas, TX","DALLAS FAA AIRPORT, TX US"
11423,Des Moines Municipal,"Des Moines, IA","DES MOINES INTERNATIONAL AIRPORT, IA US"
11433,Detroit Metro Wayne County,"Detroit, MI","DETROIT METRO AIRPORT, MI US"
11057,Douglas Municipal,"Charlotte, NC","CHARLOTTE DOUGLAS AIRPORT, NC US"
11540,El Paso International,"El Paso, TX","EL PASO INTERNATIONAL AIRPORT, TX US"
13871,Eppley Airfield,"Omaha, NE","GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US"
11697,Fort Lauderdale-Hollywood International,"Fort Lauderdale, FL","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US"
11638,Fresno Air Terminal,"Fresno, CA","FRESNO YOSEMITE INTERNATIONAL, CA US"
10821,Friendship International,"Baltimore, MD","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US"
13342,General Mitchell Field,"Milwaukee, WI","MILWAUKEE MITCHELL AIRPORT, WI US"
10792,Greater Buffalo International,"Buffalo, NY","BUFFALO NIAGARA INTERNATIONAL, NY US"
11996,Greenville-Spartanburg,"Greer, SC","GREENVILLE DOWNTOWN AIRPORT, SC US"
10800,Grenier Field/Manchester Municipal,"Manchester, NH","MANCHESTER AIRPORT, NH US"
12173,Hollywood-Burbank Midpoint,"Burbank, CA","LOS ANGELES INTERNATIONAL AIRPORT, CA US"
12266,Honolulu International,"Honolulu, HI","HONOLULU INTERNATIONAL AIRPORT, HI US"
12339,Indianapolis Muni/Weir Cook,"Indianapolis, IN","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US"
12451,Jacksonville International,"Jacksonville, FL","JACKSONVILLE INTERNATIONAL AIRPORT, FL US"
11267,James M Cox/Dayton International,"Dayton, OH","DAYTON WRIGHT BROTHERS AIRPORT, OH US"
12478,John F. Kennedy International,"New York, NY","LAGUARDIA AIRPORT, NY US"
13830,Kahului Airport,"Kahului, HI","HONOLULU INTERNATIONAL AIRPORT, HI US"
13198,Kansas City International,"Kansas City, MO","KANSAS CITY INTERNATIONAL AIRPORT, MO US"
12758,Keahole,"Kona, HI","KAILUA KONA KE AHOLE AIRPORT, HI US"
11986,Kent County,"Grand Rapids, MI","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US"
12953,LaGuardia,"New York, NY","LAGUARDIA AIRPORT, NY US"
15016,Lambert-St. Louis International,"St. Louis, MO","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US"
12982,Lihue Airport,"Lihue, HI","LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US"
10721,Logan International,"Boston, MA","BOSTON, MA US"
12954,Long Beach Daugherty Field,"Long Beach, CA","LOS ANGELES INTERNATIONAL AIRPORT, CA US"
12892,Los Angeles International,"Los Angeles, CA","LOS ANGELES INTERNATIONAL AIRPORT, CA US"
13495,Louis Armstrong New Orleans International,"New Orleans, LA","NEW ORLEANS AIRPORT, LA US"
12889,McCarran International,"Las Vegas, NV","MCCARRAN INTERNATIONAL AIRPORT, NV US"
15412,McGhee Tyson,"Knoxville, TN","KNOXVILLE AIRPORT, TN US"
13244,Memphis International,"Memphis, TN","MEMPHIS INTERNATIONAL AIRPORT, TN US"
13796,Metropolitan Oakland International,"Oakland, CA","SACRAMENTO METROPOLITAN AIRPORT, CA US"
13303,Miami International,"Miami, FL","MIAMI INTERNATIONAL AIRPORT, FL US"
13487,Midland Regional Air Trml,"Midland/Odessa, TX","PORT ARTHUR SE TX REGIONAL AIRPORT, TX US"
13577,Minneapolis-St Paul International,"Minneapolis, MN","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US"
10693,Myrtle Beach International,"Myrtle Beach, SC","NORTH MYRTLE BEACH, SC US"
11618,Newark Liberty International,"Newark, NJ","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US"
13931,Norfolk International,"Norfolk, VA","NORFOLK INTERNATIONAL AIRPORT, VA US"
15919,Northwest Arkansas Regional,"Fayetteville, AR","FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT, AR US"
13891,Ontario International,"Ontario, CA","LOS ANGELES INTERNATIONAL AIRPORT, CA US"
14908,Orange County,"Santa Ana, CA","SANTA ANA JOHN WAYNE AIRPORT, CA US"
13204,Orlando International,"Orlando, FL","ORLANDO INTERNATIONAL AIRPORT, FL US"
14027,Palm Beach International,"West Palm Beach/Palm Beach, FL","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US"
14262,Palm Springs International,"Palm Springs, CA","DESERT RESORTS REGIONAL AIRPORT, CA US"
14193,Pensacola Regional,"Pensacola, FL","TALLAHASSEE REGIONAL AIRPORT, FL US"
14100,Philadelphia International,"Philadelphia, PA","PHILADELPHIA INTERNATIONAL AIRPORT, PA US"
14107,Phoenix Sky Harbor International,"Phoenix, AZ","PHOENIX AIRPORT, AZ US"
11995,Piedmont Triad International,"Greensboro/High Point, NC","GREENSBORO AIRPORT, NC US"
14122,Pittsburgh International,"Pittsburgh, PA","PITTSBURGH ALLEGHENY CO AIRPORT, PA US"
11066,Port Columbus International,"Columbus, OH","COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US"
14057,Portland International,"Portland, OR","PORTLAND INTERNATIONAL AIRPORT, OR US"
14321,Portland International Jetport,"Portland, ME","PORTLAND JETPORT, ME US"
14843,Puerto Rico International,"San Juan, PR","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, US"
14492,Raleigh-Durham International,"Raleigh/Durham, NC","RALEIGH AIRPORT, NC US"
14570,Reno/Tahoe International,"Reno, NV","RENO AIRPORT, NV US"
14524,Richmond International,"Richmond, VA","RICHMOND INTERNATIONAL AIRPORT, VA US"
14576,Rochester Monroe County,"Rochester, NY","ROCHESTER GREATER INTERNATIONAL, NY US"
11278,Ronald Reagan Washington National,"Washington, DC","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US"
14893,Sacramento International,"Sacramento, CA","SACRAMENTO METROPOLITAN AIRPORT, CA US"
14869,Salt Lake City International,"Salt Lake City, UT","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US"
14683,San Antonio International,"San Antonio, TX","SAN ANTONIO INTERNATIONAL AIRPORT, TX US"
14679,San Diego International Lindbergh Fl,"San Diego, CA","SAN DIEGO INTERNATIONAL AIRPORT, CA US"
14771,San Francisco International,"San Francisco, CA","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US"
14831,San Jose International,"San Jose, CA","SAN JOSE INTERNATIONAL AIRPORT, CA US"
14761,Sanford NAS,"Sanford, FL","TALLAHASSEE REGIONAL AIRPORT, FL US"
14685,Savannah/Hilton Head International,"Savannah, GA","SAVANNAH INTERNATIONAL AIRPORT, GA US"
14747,Seattle International,"Seattle, WA","SEATTLE TACOMA AIRPORT, WA US"
14635,Southwest Florida International,"Fort Myers, FL","FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US"
11884,Spokane International,"Spokane, WA","SPOKANE INTERNATIONAL AIRPORT, WA US"
14730,Standiford Field,"Louisville, KY","LOUISVILLE INTERNATIONAL AIRPORT, KY US"
11292,Stapleton International,"Denver, CO","DENVER INTERNATIONAL AIRPORT, CO US"
15096,Syracuse Hancock International,"Syracuse, NY","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US"
15304,Tampa International,"Tampa, FL","TAMPA INTERNATIONAL AIRPORT, FL US"
14307,Theodore Francis Green State,"Providence, RI","NEWPORT STATE AIRPORT, RI US"
13485,Truax Field,"Madison, WI","MADISON DANE CO REGIONAL AIRPORT, WI US"
15376,Tucson International,"Tucson, AZ","PHOENIX AIRPORT, AZ US"
15370,Tulsa International,"Tulsa, OK","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US"
12264,Washington Dulles International,"Washington, DC","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US"
13851,Will Rogers World,"Oklahoma City, OK","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US"
12191,William P Hobby,"Houston, TX","HOUSTON WILLIAM P HOBBY AIRPORT, TX US"
10713,Boise Air Terminal,"Boise, ID","BOISE AIR TERMINAL, ID US"
